customer_id,customer_name,email,phone_number,loyalty_status,nationality
1,Chad Hardy,chad.hardy@yahoo.com,722-188-2723x129,Bronze,Mali
2,Emily Hall,emily.hall@yahoo.com,7823985735,Silver,Somalia
3,Caitlin Cohen,caitlin.cohen@hotmail.com,925-400-3698,Silver,Congo
4,Corey Hubbard,corey.hubbard@yahoo.com,778.872.2822x33439,Silver,Ukraine
5,Yvette Jacobs,yvette.jacobs@yahoo.com,(691)338-4529,Silver,Niue
6,Amanda Jones,amanda.jones@yahoo.com,+1-390-095-8004x067,Bronze,El Salvador
7,Brittany Kidd,brittany.kidd@yahoo.com,001-984-682-7019x20813,Silver,Antigua and Barbuda
8,Brandon Jennings,brandon.jennings@yahoo.com,638-050-7750,Bronze,Isle of Man
9,Nicole Morgan,nicole.morgan@hotmail.com,927.233.8328x05709,Silver,Tanzania
10,Barbara Kelley,barbara.kelley@yahoo.com,001-811-342-7249x145,Silver,Uganda
11,Angela Johnson,angela.johnson@yahoo.com,646.991.0037,Silver,United Arab Emirates
12,Karen Cameron,karen.cameron@hotmail.com,960-516-0614,Gold,Mongolia
13,Sara Wood,sara.wood@gmail.com,+1-663-887-7683x0411,Gold,Dominican Republic
14,Renee Alexander,renee.alexander@hotmail.com,627-797-1032x57277,Gold,Croatia
15,Nicole Golden,nicole.golden@hotmail.com,(725)709-9895,Silver,Montenegro
16,Samuel Bell,samuel.bell@yahoo.com,001-648-249-0901x700,Gold,Cambodia
17,Melissa Gonzalez,melissa.gonzalez@yahoo.com,(318)511-8320x5065,Bronze,Samoa
18,Richard Coleman,richard.coleman@yahoo.com,001-930-606-0925,Silver,New Zealand
19,Jonathon Perkins MD,jonathon.perkins.md@hotmail.com,(037)089-5845x935,Silver,Nigeria
20,Andrew Hart,andrew.hart@yahoo.com,+1-009-699-8629x36350,Gold,Trinidad and Tobago
21,Brittany Gutierrez,brittany.gutierrez@gmail.com,284-971-9184,Bronze,Montserrat
22,Lynn Smith,lynn.smith@yahoo.com,757-919-4151,Silver,Benin
23,Mrs. Taylor Baker,mrs..taylor.baker@gmail.com,001-342-998-9107,Silver,Bouvet Island (Bouvetoya)
24,Richard Jackson,richard.jackson@yahoo.com,015.275.7745,Bronze,Congo
25,James Chen,james.chen@yahoo.com,(550)202-9915x11837,Silver,Argentina
26,Sue Kelly,sue.kelly@hotmail.com,6407596385,Gold,Hungary
27,Jeffrey Campbell,jeffrey.campbell@yahoo.com,376-286-3976x178,Silver,Vietnam
28,Neil Avery,neil.avery@yahoo.com,482-393-3061x68767,Bronze,Sri Lanka
29,Elizabeth Flores,elizabeth.flores@gmail.com,(859)430-0677x577,Bronze,Guernsey
30,Shannon Jones,shannon.jones@gmail.com,(039)216-6485x5919,Silver,Bhutan
31,Mrs. Hannah King,mrs..hannah.king@hotmail.com,001-548-232-7720x7297,Gold,Equatorial Guinea
32,Steve Collins,steve.collins@hotmail.com,2316865737,Silver,Singapore
33,David Olsen,david.olsen@hotmail.com,106.853.8915x16188,Gold,Cook Islands
34,Miss Bonnie Burton,miss.bonnie.burton@yahoo.com,393.235.1326x95957,Silver,Liberia
35,Linda Rose,linda.rose@yahoo.com,083-752-0859,Gold,Italy
36,Paul Hall,paul.hall@yahoo.com,7291483315,Silver,Greenland
37,Lauren Hodges,lauren.hodges@hotmail.com,116-539-5865,Silver,Equatorial Guinea
38,Jade Moore,jade.moore@gmail.com,(005)960-9876x3225,Gold,Gibraltar
39,Samuel Graham,samuel.graham@yahoo.com,+1-853-916-9677x25096,Silver,Palestinian Territory
40,Michael Ware,michael.ware@gmail.com,001-069-297-9330x8929,Silver,Samoa
41,Melinda Williamson,melinda.williamson@hotmail.com,001-010-957-9591x40210,Silver,France
42,Gina Vega,gina.vega@hotmail.com,796-547-5569,Bronze,Tunisia
43,Sharon Spears,sharon.spears@hotmail.com,146-209-1411x515,Bronze,Puerto Rico
44,Cynthia Rhodes,cynthia.rhodes@yahoo.com,431-162-3382,Silver,Saint Helena
45,David Choi,david.choi@gmail.com,301-085-9253x769,Gold,Chile
46,David Solomon,david.solomon@gmail.com,(581)798-6043x54075,Silver,Guadeloupe
47,James Crosby,james.crosby@hotmail.com,(283)603-4969,Gold,Belarus
48,Sherry Freeman,sherry.freeman@hotmail.com,417.799.2494x066,Bronze,Mali
49,Anthony Coleman,anthony.coleman@hotmail.com,001-784-868-5929x46131,Gold,Libyan Arab Jamahiriya
50,Anthony Hicks,anthony.hicks@gmail.com,(070)300-1203x53711,Silver,Christmas Island
51,Justin Pena,justin.pena@yahoo.com,098.945.7203,Gold,United Arab Emirates
